game,category,group_id,set_code,set_name,published
dbfusion,80,23430,DBSFW_EM,Fusion World Energy Markers,2024-02-14
dbfusion,80,23428,DBSFW_PR,Fusion World Promotion Cards and Packs,2024-02-14
dbfusion,80,23429,DBSFW_TPR,Tournament and Championship Promos,2024-02-14
dbfusion,80,23407,FB01_PR,Awakened Pulse Pre-Release Cards,2024-02-16
dbfusion,80,23408,FS01,Starter Deck 1: Son Goku,2024-02-16
dbfusion,80,23409,FS02,Starter Deck 2: Vegeta,2024-02-16
dbfusion,80,23410,FS03,Starter Deck 3: Broly,2024-02-16
dbfusion,80,23411,FS04,Starter Deck 4: Frieza,2024-02-16
dbfusion,80,23401,FB01,Awakened Pulse,2024-02-23
dbfusion,80,23471,FB02_PR,Blazing Aura Release Event Cards,2024-05-03
dbfusion,80,23505,FB01_AR,Awakened Pulse Alternate Art Reprints,2024-05-10
dbfusion,80,23470,FB02,Blazing Aura,2024-05-10
dbfusion,80,23582,FS01_AR,Starter Deck 1: Son Goku Alternate Art Reprints,2024-05-10
dbfusion,80,23583,FS03_AR,Starter Deck 3: Broly Alternate Art Reprints,2024-05-10
dbfusion,80,23518,FB03_PR,Raging Roar Release Event Cards,2024-08-09
dbfusion,80,23519,FS05,Starter Deck 5: Bardock,2024-08-09
dbfusion,80,23517,FB03,Raging Roar,2024-08-16
dbfusion,80,23581,FS04_AR,Starter Deck 4: Frieza Alternate Art Reprints,2024-08-16
dbfusion,80,23654,FS06,Starter Deck 6: Son Goku (Mini),2024-11-08
dbfusion,80,23655,FS07,Starter Deck 7: Vegeta (Mini),2024-11-08
dbfusion,80,23769,FB04_PR,Ultra Limit Release Event Cards,2024-11-08
dbfusion,80,23823,FB03_AR,Raging Roar Alternate Art Reprints,2024-11-15
dbfusion,80,23658,FB04,Ultra Limit,2024-11-15
dbfusion,80,24186,FB05_PR,New Adventure Release Event Cards,2025-02-07
dbfusion,80,24183,FB02_AR,Blazing Aura Alternate Art Reprints,2025-02-14
dbfusion,80,23928,FB05,New Adventure,2025-02-14
dbfusion,80,24185,FS05_AR,Starter Deck 5: Bardock Alternate Art Reprints,2025-02-14
dbfusion,80,24184,FB04_AR,Ultra Limit Alternate Art Reprints,2025-02-14
dbfusion,80,24248,FB06_PR,Rivals Clash Release Event Cards,2025-04-25
dbfusion,80,24239,FS08,Starter Deck 8: Vegeta (Mini) Super Saiyan 3,2025-04-25
dbfusion,80,24311,FB05_AR,New Adventure Alternate Art Reprints,2025-05-02
dbfusion,80,24247,FB06,Rivals Clash,2025-05-02
dbfusion,80,24336,FS10,Starter Deck 10: Giblet,2025-06-13
dbfusion,80,24251,FS09,Starter Deck 9: Shallot,2025-06-13
dbfusion,80,24335,SB01,Manga Booster 01,2025-06-27
dbfusion,80,24368,SB01_PR,Manga Booster 01 Release Event Cards,2025-06-27
dbfusion,80,24419,FB07_PR,Wish For Shenron Release Event Cards,2025-09-12
dbfusion,80,24397,FB07,Wish For Shenron,2025-09-19
dbfusion,80,24288,SB02,Manga Booster 02,2025-11-14
dbfusion,80,24492,SB02_RE,Manga Booster 02 Release Event Cards,2025-11-14
dbfusion,80,24450,FB08,Saiyan's Pride,2025-12-12
dbfusion,80,24518,FB08_PR,Saiyan's Pride Release Event Cards,2025-12-19
dbfusion,80,24569,FB09,Dual Evolution,2026-03-13
dbfusion,80,24663,FB09_PR,Dual Evolution Release Event Cards,2026-03-13
dbfusion,80,24571,FS12,Starter Deck EX: The Beat of Ki,2026-03-13
dbfusion,80,24570,FS11,Starter Deck EX: The Phase of Evolution,2026-03-13
dbfusion,80,24733,FB10_PR,Cross Force Release Event Cards,2026-06-12
dbfusion,80,24604,FB10,Cross Force,2026-06-19
dbfusion,80,24680,ST01,Story Booster 01,2026-08-21
dbfusion,80,24716,FB11,Brightness of Hope,2026-10-16
dbsccg,27,1962,DBS-B01,Galactic Battle,2017-07-28
dbsccg,27,1963,PR,Promotion Cards,2017-07-28
dbsccg,27,2070,DBS-B02,Union Force,2017-11-03
dbsccg,27,2147,DB0,Draft Boxes,2017-12-08
dbsccg,27,2170,DBS-BE01,Expansion Deck Box Set 01: Mighty Heroes,2018-01-26
dbsccg,27,2171,DBS-BE02,Expansion Deck Box Set 02: Dark Demon's Villains,2018-01-26
dbsccg,27,2173,DBS-B03,Cross Worlds,2018-03-30
dbsccg,27,2217,DBS-TB01,Tournament of Power,2018-05-31
dbsccg,27,2264,OVRS,Oversized Cards,2018-07-13
dbsccg,27,2218,DBS-B04,Colossal Warfare,2018-07-20
