id,name,set_name,card_number,proposed_id,matched_product,matched_console
mtg-30a-p-20,Harvester of Souls Foil,30th Anniversary Promos,20,11212068,Harvester Of Souls [Foil] #20,Magic 30th Anniversary
mtg-30a-p-4,Shivan Dragon Foil,30th Anniversary Promos,4,7210399,Shivan Dragon [Foil] #1993,Magic Secret Lair 30th Anniversary
mtg-40k-15 // 16,Plaguebearer of Nurgle // Spawn Double-Sided Token,"Universes Beyond: Warhammer 40,000",15 // 16,7109172,Plaguebearer of Nurgle // Spawn,"Magic Warhammer 40,000"
mtg-afc-11 // 15,Servo // Treasure Double-Sided Token,Commander: Adventures in the Forgotten Realms,11 // 15,5553865,Servo // Treasure,Magic Adventures in the Forgotten Realms Commander
mtg-afc-3 // 6,Illusion // Skeleton Double-Sided Token,Commander: Adventures in the Forgotten Realms,3 // 6,5553856,Illusion // Skeleton,Magic Adventures in the Forgotten Realms Commander
mtg-afc-7 // 9,Beast // Dragon Spirit Double-Sided Token,Commander: Adventures in the Forgotten Realms,7 // 9,5553868,Beast // Dragon Spirit,Magic Adventures in the Forgotten Realms Commander
mtg-afr-302,Cloister Gargoyle (Showcase),Adventures in the Forgotten Realms,302,2362435,Cloister Gargoyle [Showcase],Magic Adventures in the Forgotten Realms
mtg-afr-305,Displacer Beast (Showcase),Adventures in the Forgotten Realms,305,2362413,Displacer Beast [Showcase],Magic Adventures in the Forgotten Realms
mtg-afr-306,Djinni Windseer (Showcase),Adventures in the Forgotten Realms,306,2362526,Djinni Windseer [Showcase],Magic Adventures in the Forgotten Realms
mtg-afr-308,Mind Flayer (Showcase),Adventures in the Forgotten Realms,308,2362329,Mind Flayer [Showcase],Magic Adventures in the Forgotten Realms
mtg-afr-315,Westgate Regent (Showcase),Adventures in the Forgotten Realms,315,2362372,Westgate Regent [Showcase],Magic Adventures in the Forgotten Realms
mtg-afr-324,Bulette (Showcase),Adventures in the Forgotten Realms,324,2362585,Bulette [Showcase],Magic Adventures in the Forgotten Realms
mtg-afr-329,Neverwinter Dryad (Showcase),Adventures in the Forgotten Realms,329,2362460,Neverwinter Dryad [Showcase] #239,Magic Adventures in the Forgotten Realms
mtg-afr-334,Underdark Basilisk (Showcase),Adventures in the Forgotten Realms,334,2362521,Underdark Basilisk [Showcase],Magic Adventures in the Forgotten Realms
mtg-afr-340,Gretchen Titchwillow (Showcase),Adventures in the Forgotten Realms,340,2362377,Gretchen Titchwillow [Showcase],Magic Adventures in the Forgotten Realms
mtg-afr-361,Flumph (Extended Art),Adventures in the Forgotten Realms,361,2362353,Flumph [Extended Art],Magic Adventures in the Forgotten Realms
mtg-afr-371,Yuan-Ti Malison (Extended Art),Adventures in the Forgotten Realms,371,2362332,Yuan-Ti Malison [Extended Art],Magic Adventures in the Forgotten Realms
mtg-afr-375,Forsworn Paladin (Extended Art),Adventures in the Forgotten Realms,375,2362328,Forsworn Paladin [Extended Art],Magic Adventures in the Forgotten Realms
mtg-afr-385,Instrument of the Bards (Extended Art),Adventures in the Forgotten Realms,385,2362342,Instrument of the Bards [Extended Art],Magic Adventures in the Forgotten Realms
mtg-afr-386,Long Rest (Extended Art),Adventures in the Forgotten Realms,386,2362367,Long Rest [Extended Art],Magic Adventures in the Forgotten Realms
mtg-afr-390,Triumphant Adventurer (Extended Art),Adventures in the Forgotten Realms,390,2362337,Triumphant Adventurer [Extended Art],Magic Adventures in the Forgotten Realms
mtg-afr-393,Eye of Vecna (Extended Art),Adventures in the Forgotten Realms,393,2362298,Eye of Vecna [Extended Art],Magic Adventures in the Forgotten Realms
mtg-akh-12 // 20,"Temmet, Vizier of Naktamun // Zombie Double-Sided Token",Amonkhet,12 // 20,2205210,"Temmet, Vizier of Naktamun",Magic Amonkhet
mtg-ath-87,Plains (Portal),Anthologies,87,18085,Plains,Magic Anthologies
mtg-brc-10 // 7,Myr // Powerstone Double-Sided Token,Commander: The Brothers' War,10 // 7,5553180,Myr // Powerstone,Magic Brother's War Commander
mtg-brc-12 // 5,Scrap // Phyrexian Myr Double-Sided Token,Commander: The Brothers' War,12 // 5,5553165,Scrap // Phyrexian Myr,Magic Brother's War Commander
mtg-brc-13 // 11,Servo // Phyrexian Horror Double-Sided Token,Commander: The Brothers' War,13 // 11,5553172,Servo // Phyrexian Horror,Magic Brother's War Commander
mtg-brc-13 // 7,Servo // Powerstone Double-Sided Token,Commander: The Brothers' War,13 // 7,5553160,Servo // Powerstone,Magic Brother's War Commander
