Card Name,Set Name,Set Code,Card Number,Rarity,Supertype,PriceCharting URL,PriceCharting Search URL,TCGPlayer URL,Card Image URL,Price Source URL (fill me in)
Alakazam,Base,base1,1,Rare Holo,Pokémon,https://www.pricecharting.com/game/pokemon/alakazam,https://www.pricecharting.com/search-products?q=Alakazam&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-1,https://images.pokemontcg.io/base1/1.png,
Blastoise,Base,base1,2,Rare Holo,Pokémon,https://www.pricecharting.com/game/pokemon/blastoise,https://www.pricecharting.com/search-products?q=Blastoise&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-2,https://images.pokemontcg.io/base1/2.png,
Chansey,Base,base1,3,Rare Holo,Pokémon,https://www.pricecharting.com/game/pokemon/chansey,https://www.pricecharting.com/search-products?q=Chansey&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-3,https://images.pokemontcg.io/base1/3.png,
Charizard,Base,base1,4,Rare Holo,Pokémon,https://www.pricecharting.com/game/pokemon/charizard,https://www.pricecharting.com/search-products?q=Charizard&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-4,https://images.pokemontcg.io/base1/4.png,
Clefairy,Base,base1,5,Rare Holo,Pokémon,https://www.pricecharting.com/game/pokemon/clefairy,https://www.pricecharting.com/search-products?q=Clefairy&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-5,https://images.pokemontcg.io/base1/5.png,
Gyarados,Base,base1,6,Rare Holo,Pokémon,https://www.pricecharting.com/game/pokemon/gyarados,https://www.pricecharting.com/search-products?q=Gyarados&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-6,https://images.pokemontcg.io/base1/6.png,
Hitmonchan,Base,base1,7,Rare Holo,Pokémon,https://www.pricecharting.com/game/pokemon/hitmonchan,https://www.pricecharting.com/search-products?q=Hitmonchan&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-7,https://images.pokemontcg.io/base1/7.png,
Machamp,Base,base1,8,Rare Holo,Pokémon,https://www.pricecharting.com/game/pokemon/machamp,https://www.pricecharting.com/search-products?q=Machamp&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-8,https://images.pokemontcg.io/base1/8.png,
Magneton,Base,base1,9,Rare Holo,Pokémon,https://www.pricecharting.com/game/pokemon/magneton,https://www.pricecharting.com/search-products?q=Magneton&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-9,https://images.pokemontcg.io/base1/9.png,
Mewtwo,Base,base1,10,Rare Holo,Pokémon,https://www.pricecharting.com/game/pokemon/mewtwo,https://www.pricecharting.com/search-products?q=Mewtwo&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-10,https://images.pokemontcg.io/base1/10.png,
Nidoking,Base,base1,11,Rare Holo,Pokémon,https://www.pricecharting.com/game/pokemon/nidoking,https://www.pricecharting.com/search-products?q=Nidoking&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-11,https://images.pokemontcg.io/base1/11.png,
Ninetales,Base,base1,12,Rare Holo,Pokémon,https://www.pricecharting.com/game/pokemon/ninetales,https://www.pricecharting.com/search-products?q=Ninetales&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-12,https://images.pokemontcg.io/base1/12.png,
Poliwrath,Base,base1,13,Rare Holo,Pokémon,https://www.pricecharting.com/game/pokemon/poliwrath,https://www.pricecharting.com/search-products?q=Poliwrath&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-13,https://images.pokemontcg.io/base1/13.png,
Raichu,Base,base1,14,Rare Holo,Pokémon,https://www.pricecharting.com/game/pokemon/raichu,https://www.pricecharting.com/search-products?q=Raichu&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-14,https://images.pokemontcg.io/base1/14.png,
Venusaur,Base,base1,15,Rare Holo,Pokémon,https://www.pricecharting.com/game/pokemon/venusaur,https://www.pricecharting.com/search-products?q=Venusaur&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-15,https://images.pokemontcg.io/base1/15.png,
Zapdos,Base,base1,16,Rare Holo,Pokémon,https://www.pricecharting.com/game/pokemon/zapdos,https://www.pricecharting.com/search-products?q=Zapdos&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-16,https://images.pokemontcg.io/base1/16.png,
Beedrill,Base,base1,17,Rare,Pokémon,https://www.pricecharting.com/game/pokemon/beedrill,https://www.pricecharting.com/search-products?q=Beedrill&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-17,https://images.pokemontcg.io/base1/17.png,
Dragonair,Base,base1,18,Rare,Pokémon,https://www.pricecharting.com/game/pokemon/dragonair,https://www.pricecharting.com/search-products?q=Dragonair&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-18,https://images.pokemontcg.io/base1/18.png,
Dugtrio,Base,base1,19,Rare,Pokémon,https://www.pricecharting.com/game/pokemon/dugtrio,https://www.pricecharting.com/search-products?q=Dugtrio&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-19,https://images.pokemontcg.io/base1/19.png,
Electabuzz,Base,base1,20,Rare,Pokémon,https://www.pricecharting.com/game/pokemon/electabuzz,https://www.pricecharting.com/search-products?q=Electabuzz&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-20,https://images.pokemontcg.io/base1/20.png,
Electrode,Base,base1,21,Rare,Pokémon,https://www.pricecharting.com/game/pokemon/electrode,https://www.pricecharting.com/search-products?q=Electrode&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-21,https://images.pokemontcg.io/base1/21.png,
Pidgeotto,Base,base1,22,Rare,Pokémon,https://www.pricecharting.com/game/pokemon/pidgeotto,https://www.pricecharting.com/search-products?q=Pidgeotto&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-22,https://images.pokemontcg.io/base1/22.png,
Arcanine,Base,base1,23,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/arcanine,https://www.pricecharting.com/search-products?q=Arcanine&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-23,https://images.pokemontcg.io/base1/23.png,
Charmeleon,Base,base1,24,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/charmeleon,https://www.pricecharting.com/search-products?q=Charmeleon&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-24,https://images.pokemontcg.io/base1/24.png,
Dewgong,Base,base1,25,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/dewgong,https://www.pricecharting.com/search-products?q=Dewgong&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-25,https://images.pokemontcg.io/base1/25.png,
Dratini,Base,base1,26,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/dratini,https://www.pricecharting.com/search-products?q=Dratini&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-26,https://images.pokemontcg.io/base1/26.png,
Farfetch'd,Base,base1,27,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/farfetchd,https://www.pricecharting.com/search-products?q=Farfetch'd&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-27,https://images.pokemontcg.io/base1/27.png,
Growlithe,Base,base1,28,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/growlithe,https://www.pricecharting.com/search-products?q=Growlithe&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-28,https://images.pokemontcg.io/base1/28.png,
Haunter,Base,base1,29,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/haunter,https://www.pricecharting.com/search-products?q=Haunter&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-29,https://images.pokemontcg.io/base1/29.png,
Ivysaur,Base,base1,30,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/ivysaur,https://www.pricecharting.com/search-products?q=Ivysaur&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-30,https://images.pokemontcg.io/base1/30.png,
Jynx,Base,base1,31,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/jynx,https://www.pricecharting.com/search-products?q=Jynx&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-31,https://images.pokemontcg.io/base1/31.png,
Kadabra,Base,base1,32,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/kadabra,https://www.pricecharting.com/search-products?q=Kadabra&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-32,https://images.pokemontcg.io/base1/32.png,
Kakuna,Base,base1,33,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/kakuna,https://www.pricecharting.com/search-products?q=Kakuna&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-33,https://images.pokemontcg.io/base1/33.png,
Machoke,Base,base1,34,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/machoke,https://www.pricecharting.com/search-products?q=Machoke&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-34,https://images.pokemontcg.io/base1/34.png,
Magikarp,Base,base1,35,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/magikarp,https://www.pricecharting.com/search-products?q=Magikarp&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-35,https://images.pokemontcg.io/base1/35.png,
Magmar,Base,base1,36,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/magmar,https://www.pricecharting.com/search-products?q=Magmar&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-36,https://images.pokemontcg.io/base1/36.png,
Nidorino,Base,base1,37,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/nidorino,https://www.pricecharting.com/search-products?q=Nidorino&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-37,https://images.pokemontcg.io/base1/37.png,
Poliwhirl,Base,base1,38,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/poliwhirl,https://www.pricecharting.com/search-products?q=Poliwhirl&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-38,https://images.pokemontcg.io/base1/38.png,
Porygon,Base,base1,39,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/porygon,https://www.pricecharting.com/search-products?q=Porygon&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-39,https://images.pokemontcg.io/base1/39.png,
Raticate,Base,base1,40,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/raticate,https://www.pricecharting.com/search-products?q=Raticate&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-40,https://images.pokemontcg.io/base1/40.png,
Seel,Base,base1,41,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/seel,https://www.pricecharting.com/search-products?q=Seel&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-41,https://images.pokemontcg.io/base1/41.png,
Wartortle,Base,base1,42,Uncommon,Pokémon,https://www.pricecharting.com/game/pokemon/wartortle,https://www.pricecharting.com/search-products?q=Wartortle&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-42,https://images.pokemontcg.io/base1/42.png,
Abra,Base,base1,43,Common,Pokémon,https://www.pricecharting.com/game/pokemon/abra,https://www.pricecharting.com/search-products?q=Abra&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-43,https://images.pokemontcg.io/base1/43.png,
Bulbasaur,Base,base1,44,Common,Pokémon,https://www.pricecharting.com/game/pokemon/bulbasaur,https://www.pricecharting.com/search-products?q=Bulbasaur&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-44,https://images.pokemontcg.io/base1/44.png,
Caterpie,Base,base1,45,Common,Pokémon,https://www.pricecharting.com/game/pokemon/caterpie,https://www.pricecharting.com/search-products?q=Caterpie&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-45,https://images.pokemontcg.io/base1/45.png,
Charmander,Base,base1,46,Common,Pokémon,https://www.pricecharting.com/game/pokemon/charmander,https://www.pricecharting.com/search-products?q=Charmander&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-46,https://images.pokemontcg.io/base1/46.png,
Diglett,Base,base1,47,Common,Pokémon,https://www.pricecharting.com/game/pokemon/diglett,https://www.pricecharting.com/search-products?q=Diglett&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-47,https://images.pokemontcg.io/base1/47.png,
Doduo,Base,base1,48,Common,Pokémon,https://www.pricecharting.com/game/pokemon/doduo,https://www.pricecharting.com/search-products?q=Doduo&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-48,https://images.pokemontcg.io/base1/48.png,
Drowzee,Base,base1,49,Common,Pokémon,https://www.pricecharting.com/game/pokemon/drowzee,https://www.pricecharting.com/search-products?q=Drowzee&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-49,https://images.pokemontcg.io/base1/49.png,
Gastly,Base,base1,50,Common,Pokémon,https://www.pricecharting.com/game/pokemon/gastly,https://www.pricecharting.com/search-products?q=Gastly&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-50,https://images.pokemontcg.io/base1/50.png,
Koffing,Base,base1,51,Common,Pokémon,https://www.pricecharting.com/game/pokemon/koffing,https://www.pricecharting.com/search-products?q=Koffing&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-51,https://images.pokemontcg.io/base1/51.png,
Machop,Base,base1,52,Common,Pokémon,https://www.pricecharting.com/game/pokemon/machop,https://www.pricecharting.com/search-products?q=Machop&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-52,https://images.pokemontcg.io/base1/52.png,
Magnemite,Base,base1,53,Common,Pokémon,https://www.pricecharting.com/game/pokemon/magnemite,https://www.pricecharting.com/search-products?q=Magnemite&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-53,https://images.pokemontcg.io/base1/53.png,
Metapod,Base,base1,54,Common,Pokémon,https://www.pricecharting.com/game/pokemon/metapod,https://www.pricecharting.com/search-products?q=Metapod&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-54,https://images.pokemontcg.io/base1/54.png,
Nidoran ♂,Base,base1,55,Common,Pokémon,https://www.pricecharting.com/game/pokemon/nidoran,https://www.pricecharting.com/search-products?q=Nidoran%20%E2%99%82&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-55,https://images.pokemontcg.io/base1/55.png,
Onix,Base,base1,56,Common,Pokémon,https://www.pricecharting.com/game/pokemon/onix,https://www.pricecharting.com/search-products?q=Onix&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-56,https://images.pokemontcg.io/base1/56.png,
Pidgey,Base,base1,57,Common,Pokémon,https://www.pricecharting.com/game/pokemon/pidgey,https://www.pricecharting.com/search-products?q=Pidgey&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-57,https://images.pokemontcg.io/base1/57.png,
Pikachu,Base,base1,58,Common,Pokémon,https://www.pricecharting.com/game/pokemon/pikachu,https://www.pricecharting.com/search-products?q=Pikachu&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-58,https://images.pokemontcg.io/base1/58.png,
Poliwag,Base,base1,59,Common,Pokémon,https://www.pricecharting.com/game/pokemon/poliwag,https://www.pricecharting.com/search-products?q=Poliwag&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-59,https://images.pokemontcg.io/base1/59.png,
Ponyta,Base,base1,60,Common,Pokémon,https://www.pricecharting.com/game/pokemon/ponyta,https://www.pricecharting.com/search-products?q=Ponyta&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-60,https://images.pokemontcg.io/base1/60.png,
Rattata,Base,base1,61,Common,Pokémon,https://www.pricecharting.com/game/pokemon/rattata,https://www.pricecharting.com/search-products?q=Rattata&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-61,https://images.pokemontcg.io/base1/61.png,
Sandshrew,Base,base1,62,Common,Pokémon,https://www.pricecharting.com/game/pokemon/sandshrew,https://www.pricecharting.com/search-products?q=Sandshrew&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-62,https://images.pokemontcg.io/base1/62.png,
Squirtle,Base,base1,63,Common,Pokémon,https://www.pricecharting.com/game/pokemon/squirtle,https://www.pricecharting.com/search-products?q=Squirtle&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-63,https://images.pokemontcg.io/base1/63.png,
Starmie,Base,base1,64,Common,Pokémon,https://www.pricecharting.com/game/pokemon/starmie,https://www.pricecharting.com/search-products?q=Starmie&type=prices,https://prices.pokemontcg.io/tcgplayer/base1-64,https://images.pokemontcg.io/base1/64.png,
