id,name,set_name,pricecharting_id,pc_product_name,pc_console_name,name_score,set_score,reason
base1-11,Nidoking,Base,630424,,,0.0,0.0,id_not_found
base1-102,Water Energy,Base,630515,,,0.0,0.0,id_not_found
base1-12,Ninetales,Base,630425,,,0.0,0.0,id_not_found
base1-14,Raichu,Base,630427,,,0.0,0.0,id_not_found
base1-15,Venusaur,Base,630428,,,0.0,0.0,id_not_found
base1-16,Zapdos,Base,630429,,,0.0,0.0,id_not_found
base1-17,Beedrill,Base,630430,,,0.0,0.0,id_not_found
base1-18,Dragonair,Base,630431,,,0.0,0.0,id_not_found
base1-19,Dugtrio,Base,630432,,,0.0,0.0,id_not_found
base1-2,Blastoise,Base,630415,,,0.0,0.0,id_not_found
base1-23,Arcanine,Base,630436,,,0.0,0.0,id_not_found
base1-22,Pidgeotto,Base,630435,,,0.0,0.0,id_not_found
base1-24,Charmeleon,Base,630437,,,0.0,0.0,id_not_found
base1-25,Dewgong,Base,630438,,,0.0,0.0,id_not_found
base1-3,Chansey,Base,630416,,,0.0,0.0,id_not_found
base1-31,Jynx,Base,630444,,,0.0,0.0,id_not_found
base1-30,Ivysaur,Base,630443,,,0.0,0.0,id_not_found
base1-32,Kadabra,Base,630445,,,0.0,0.0,id_not_found
base1-37,Nidorino,Base,630450,,,0.0,0.0,id_not_found
base1-39,Porygon,Base,630452,,,0.0,0.0,id_not_found
base1-40,Raticate,Base,630453,,,0.0,0.0,id_not_found
base1-41,Seel,Base,630454,,,0.0,0.0,id_not_found
base1-44,Bulbasaur,Base,630457,,,0.0,0.0,id_not_found
base1-48,Doduo,Base,630461,,,0.0,0.0,id_not_found
base1-49,Drowzee,Base,630462,,,0.0,0.0,id_not_found
base1-5,Clefairy,Base,630418,,,0.0,0.0,id_not_found
base1-50,Gastly,Base,630463,,,0.0,0.0,id_not_found
base1-51,Koffing,Base,630464,,,0.0,0.0,id_not_found
base1-52,Machop,Base,630465,,,0.0,0.0,id_not_found
base1-58,Pikachu,Base,630471,,,0.0,0.0,id_not_found
base1-59,Poliwag,Base,630472,,,0.0,0.0,id_not_found
base1-6,Gyarados,Base,630419,,,0.0,0.0,id_not_found
base1-60,Ponyta,Base,630473,,,0.0,0.0,id_not_found
base1-61,Rattata,Base,630474,,,0.0,0.0,id_not_found
base1-63,Squirtle,Base,630476,,,0.0,0.0,id_not_found
base1-66,Tangela,Base,630479,,,0.0,0.0,id_not_found
base1-67,Voltorb,Base,630480,,,0.0,0.0,id_not_found
base1-69,Weedle,Base,630482,,,0.0,0.0,id_not_found
base1-7,Hitmonchan,Base,630420,,,0.0,0.0,id_not_found
base1-71,Computer Search,Base,630484,,,0.0,0.0,id_not_found
base1-73,Impostor Professor Oak,Base,2618194,,,0.0,0.0,id_not_found
base1-77,Pokémon Trader,Base,630490,,,0.0,0.0,id_not_found
base1-79,Super Energy Removal,Base,630492,,,0.0,0.0,id_not_found
base1-81,Energy Retrieval,Base,630494,,,0.0,0.0,id_not_found
base1-86,Pokémon Flute,Base,630499,,,0.0,0.0,id_not_found
base1-88,Professor Oak,Base,630501,,,0.0,0.0,id_not_found
base1-89,Revive,Base,630502,,,0.0,0.0,id_not_found
base1-9,Magneton,Base,630422,,,0.0,0.0,id_not_found
base1-94,Potion,Base,630507,,,0.0,0.0,id_not_found
base1-95,Switch,Base,630508,,,0.0,0.0,id_not_found
base2-10,Scyther,Jungle,643334,,,0.0,0.0,id_not_found
base2-12,Vaporeon,Jungle,643339,,,0.0,0.0,id_not_found
base2-19,Flareon,Jungle,1099559,,,0.0,0.0,id_not_found
base2-2,Electrode,Jungle,643304,,,0.0,0.0,id_not_found
base2-20,Jolteon,Jungle,1099560,,,0.0,0.0,id_not_found
base2-24,Pidgeot,Jungle,1099564,,,0.0,0.0,id_not_found
base2-26,Scyther,Jungle,1099566,,,0.0,0.0,id_not_found
base2-25,Pinsir,Jungle,1099565,,,0.0,0.0,id_not_found
base2-27,Snorlax,Jungle,1099567,,,0.0,0.0,id_not_found
base2-33,Butterfree,Jungle,643299,,,0.0,0.0,id_not_found
base2-34,Dodrio,Jungle,643302,,,0.0,0.0,id_not_found
base2-35,Exeggutor,Jungle,643306,,,0.0,0.0,id_not_found
base2-41,Parasect,Jungle,643324,,,0.0,0.0,id_not_found
base2-45,Rhydon,Jungle,643332,,,0.0,0.0,id_not_found
base2-48,Weepinbell,Jungle,643344,,,0.0,0.0,id_not_found
base2-5,Kangaskhan,Jungle,643313,,,0.0,0.0,id_not_found
base2-51,Eevee,Jungle,643303,,,0.0,0.0,id_not_found
base2-53,Goldeen,Jungle,643310,,,0.0,0.0,id_not_found
base2-54,Jigglypuff,Jungle,643311,,,0.0,0.0,id_not_found
base2-56,Meowth,Jungle,643317,,,0.0,0.0,id_not_found
base2-6,Mr. Mime,Jungle,643318,,,0.0,0.0,id_not_found
base2-62,Spearow,Jungle,643337,,,0.0,0.0,id_not_found
base2-7,Nidoqueen,Jungle,643319,,,0.0,0.0,id_not_found
base3-13,Muk,Fossil,643426,,,0.0,0.0,id_not_found
base3-15,Zapdos,Fossil,643441,,,0.0,0.0,id_not_found
base3-14,Raichu,Fossil,643431,,,0.0,0.0,id_not_found
base3-20,Gengar,Fossil,1341267,,,0.0,0.0,id_not_found
base3-2,Articuno,Fossil,643398,,,0.0,0.0,id_not_found
base3-28,Muk,Fossil,1341276,,,0.0,0.0,id_not_found
base3-29,Raichu,Fossil,1341277,,,0.0,0.0,id_not_found
base3-33,Gastly,Fossil,643405,,,0.0,0.0,id_not_found
base3-36,Golem,Fossil,643410,,,0.0,0.0,id_not_found
base3-37,Graveler,Fossil,643411,,,0.0,0.0,id_not_found
base3-39,Magmar,Fossil,643422,,,0.0,0.0,id_not_found
base3-40,Omastar,Fossil,643429,,,0.0,0.0,id_not_found
base3-43,Slowbro,Fossil,643436,,,0.0,0.0,id_not_found
base3-44,Tentacruel,Fossil,643439,,,0.0,0.0,id_not_found
base3-47,Geodude,Fossil,643407,,,0.0,0.0,id_not_found
base3-5,Gengar,Fossil,643406,,,0.0,0.0,id_not_found
base3-52,Omanyte,Fossil,643428,,,0.0,0.0,id_not_found
base3-53,Psyduck,Fossil,643430,,,0.0,0.0,id_not_found
base3-6,Haunter,Fossil,643413,,,0.0,0.0,id_not_found
base3-61,Recycle,Fossil,643432,,,0.0,0.0,id_not_found
base4-1,Alakazam,Base Set 2,643564,,,0.0,0.0,id_not_found
base4-101,Computer Search,Base Set 2,641903,,,0.0,0.0,id_not_found
base4-102,Imposter Professor Oak,Base Set 2,641904,,,0.0,0.0,id_not_found
base4-104,Lass,Base Set 2,641906,,,0.0,0.0,id_not_found
base4-103,Item Finder,Base Set 2,641905,,,0.0,0.0,id_not_found
base4-107,Scoop Up,Base Set 2,641909,,,0.0,0.0,id_not_found
base4-110,Energy Retrieval,Base Set 2,641912,,,0.0,0.0,id_not_found
base4-117,Super Potion,Base Set 2,641919,,,0.0,0.0,id_not_found
base4-118,Bill,Base Set 2,641920,,,0.0,0.0,id_not_found
base4-12,Nidoqueen,Base Set 2,641815,,,0.0,0.0,id_not_found
base4-120,Gust of Wind,Base Set 2,641922,,,0.0,0.0,id_not_found
base4-122,Potion,Base Set 2,641924,,,0.0,0.0,id_not_found
base4-127,Grass Energy,Base Set 2,641929,,,0.0,0.0,id_not_found
base4-128,Lightning Energy,Base Set 2,641930,,,0.0,0.0,id_not_found
base4-13,Ninetales,Base Set 2,641816,,,0.0,0.0,id_not_found
base4-130,Water Energy,Base Set 2,641932,,,0.0,0.0,id_not_found
base4-15,Poliwrath,Base Set 2,641818,,,0.0,0.0,id_not_found
base4-19,Wigglytuff,Base Set 2,641822,,,0.0,0.0,id_not_found
base4-21,Beedrill,Base Set 2,641824,,,0.0,0.0,id_not_found
base4-23,Dugtrio,Base Set 2,641826,,,0.0,0.0,id_not_found
base4-25,Electrode,Base Set 2,641828,,,0.0,0.0,id_not_found
