id,name,set_name,stored_id,row_lang,id_lang,id_product,id_console,current_value,price_source_url
base2-12,Vaporeon,Jungle,3453384,EN,JA,Butterfree #12,Pokemon Japanese Jungle,2.99,https://www.pricecharting.com/game/pokemon-jungle/vaporeon-12
base2-18,Electrode,Jungle,3453420,EN,JA,Pidgeot #18,Pokemon Japanese Jungle,13.7,https://www.pricecharting.com/game/pokemon-jungle/electrode-18
base2-22,Mr. Mime,Jungle,3453415,EN,JA,Fearow #22,Pokemon Japanese Jungle,3.15,https://www.pricecharting.com/game/pokemon-jungle/mr-mime-22
base2-48,Weepinbell,Jungle,3453381,EN,JA,Venonat #48,Pokemon Japanese Jungle,1.99,https://www.pricecharting.com/game/pokemon-jungle/weepinbell-48
base2-52,Exeggcute,Jungle,3453413,EN,JA,Meowth #52,Pokemon Japanese Jungle,3.12,https://www.pricecharting.com/game/pokemon-jungle/exeggcute-52
base2-57,Nidoran ♀,Jungle,3453408,EN,JA,Primeape #57,Pokemon Japanese Jungle,2.72,https://www.pricecharting.com/game/pokemon-jungle/nidoran-57
base5-10,Dark Machamp,Team Rocket,9090498,EN,JA,Smoliv #10,Pokemon Japanese Glory of Team Rocket,1.31,https://www.pricecharting.com/game/pokemon-team-rocket/dark-machamp-10
base5-14,Dark Weezing,Team Rocket,9090502,EN,JA,Arcanine #14,Pokemon Japanese Glory of Team Rocket,1.52,https://www.pricecharting.com/game/pokemon-team-rocket/dark-weezing-14
base5-17,Rainbow Energy,Team Rocket,9090505,EN,JA,Team Rocket's Houndoom #17,Pokemon Japanese Glory of Team Rocket,1.49,https://www.pricecharting.com/game/pokemon-team-rocket/rainbow-energy-17
base5-20,Dark Blastoise,Team Rocket,9090508,EN,JA,Blaziken #20,Pokemon Japanese Glory of Team Rocket,1.2,https://www.pricecharting.com/game/pokemon-team-rocket/dark-blastoise-20
base5-25,Dark Gyarados,Team Rocket,9090513,EN,JA,Gorebyss #25,Pokemon Japanese Glory of Team Rocket,1.6,https://www.pricecharting.com/game/pokemon-team-rocket/dark-gyarados-25
base5-29,Dark Slowbro,Team Rocket,9090517,EN,JA,Arrokuda #29,Pokemon Japanese Glory of Team Rocket,1.46,https://www.pricecharting.com/game/pokemon-team-rocket/dark-slowbro-29
base5-34,Dark Electrode,Team Rocket,9090522,EN,JA,Team Rocket's Mareep #34,Pokemon Japanese Glory of Team Rocket,1.4,https://www.pricecharting.com/game/pokemon-team-rocket/dark-electrode-34
base5-4,Dark Charizard,Team Rocket,9088485,EN,JA,Mow Rotom #4,Pokemon Japanese Glory of Team Rocket,1.23,https://www.pricecharting.com/game/pokemon-team-rocket/dark-charizard-4
base5-51,Dark Raticate,Team Rocket,9090530,EN,JA,Nosepass #51,Pokemon Japanese Glory of Team Rocket,1.2,https://www.pricecharting.com/game/pokemon-team-rocket/dark-raticate-51
base5-58,Koffing,Team Rocket,9090543,EN,JA,Team Rocket's Nidoran #58,Pokemon Japanese Glory of Team Rocket,0.99,https://www.pricecharting.com/game/pokemon-team-rocket/koffing-58
base5-63,Oddish,Team Rocket,9090556,EN,JA,Team Rocket's Nidoking ex #63,Pokemon Japanese Glory of Team Rocket,1.85,https://www.pricecharting.com/game/pokemon-team-rocket/oddish-63
base5-69,Voltorb,Team Rocket,9090569,EN,JA,Team Rocket's Koffing #69,Pokemon Japanese Glory of Team Rocket,1.4,https://www.pricecharting.com/game/pokemon-team-rocket/voltorb-69
base5-72,Rocket's Sneak Attack,Team Rocket,9090580,EN,JA,Team Rocket's Sneasel #72,Pokemon Japanese Glory of Team Rocket,1.54,https://www.pricecharting.com/game/pokemon-team-rocket/rockets-sneak-attack-72
base5-78,Goop Gas Attack,Team Rocket,9088568,EN,JA,Team Rocket's Meowth #78,Pokemon Japanese Glory of Team Rocket,1.75,https://www.pricecharting.com/game/pokemon-team-rocket/goop-gas-attack-78
base5-83,Dark Raichu,Team Rocket,9090583,EN,JA,Team Rocket's Porygon Z #83,Pokemon Japanese Glory of Team Rocket,1.33,https://www.pricecharting.com/game/pokemon-team-rocket/dark-raichu-83
bwp-BW66,Ninetales,BW Black Star Promos,5604568,EN,JA,Ninetales #110,Pokemon Japanese Ruler of the Black Flame,15.99,https://www.pricecharting.com/game/pokemon-promo/ninetales-BW66
bwp-BW94,Eevee,BW Black Star Promos,5604550,EN,JA,Eevee #91,Pokemon Japanese Ruler of the Black Flame,1.69,https://www.pricecharting.com/game/pokemon-promo/eevee-BW94
dpp-DP02,Chimchar,DP Black Star Promos,3440476,EN,JA,Chimchar #19,Pokemon Japanese Star Birth,1.64,https://www.pricecharting.com/game/pokemon-promo/chimchar-DP02
dpp-DP33,Dusknoir,DP Black Star Promos,3440504,EN,JA,Dusknoir #47,Pokemon Japanese Star Birth,0.7,https://www.pricecharting.com/game/pokemon-promo/dusknoir-DP33
en-ju-43,Primeape,Jungle 1st Edition,3453380,EN,JA,Oddish #43,Pokemon Japanese Jungle,2.42,https://www.pricecharting.com/game/pokemon-jungle/primeape-43
en-ju-48,Weepinbell,Jungle 1st Edition,3453381,EN,JA,Venonat #48,Pokemon Japanese Jungle,1.99,https://www.pricecharting.com/game/pokemon-jungle/weepinbell-48
en-m21-19,Mudkip,Mcdonald's 25th Anniversary,3449688,EN,JA,Zamazenta V #19,Pokemon Japanese 25th Anniversary Collection,1.87,
en-m21-25,Pikachu,Mcdonald's 25th Anniversary,3449694,EN,JA,Pikachu V-UNION #25,Pokemon Japanese 25th Anniversary Collection,7.99,
en-mep-007,Psyduck,Mega Evolution Promos,11302564,EN,JA,Psyduck #199,Pokemon Japanese Mega Dream ex,20.66,
en-mep-016,Flygon Prerelease,Mega Evolution Promos,4409008,EN,JA,Soul Dew #016,Pokemon Japanese Limited VS,4.67,
en-mep-029,Mega Charizard X ex,Mega Evolution Promos,11818680,EN,JA,Mega Charizard X Ex [Texture Error] #223,Pokemon Japanese Mega Dream ex,31.52,
en-mew-008,Wartortle,Pokemon Card 151,8708800,EN,ZH,Wartortle #8,Pokemon Chinese 151 Collect,2.0,
en-mew-015,Beedrill,Pokemon Card 151,8708819,EN,ZH,Beedrill #15,Pokemon Chinese 151 Collect,1.93,
en-mew-022,Fearow,Pokemon Card 151,8708872,EN,ZH,Fearow #22,Pokemon Chinese 151 Collect,3.82,
en-mew-028,Sandslash,Pokemon Card 151,8708903,EN,ZH,Sandslash #28,Pokemon Chinese 151 Collect,6.14,
en-mew-044,Gloom,Pokemon Card 151,8710104,EN,ZH,Gloom #158,Pokemon Chinese 151 Collect,3.49,
en-mew-052,Meowth,Pokemon Card 151,8708889,EN,ZH,Meowth #52,Pokemon Chinese 151 Collect,2.75,
en-mew-057,Primeape,Pokemon Card 151,8708925,EN,ZH,Primeape #57,Pokemon Chinese 151 Collect,2.42,
en-mew-070,Weepinbell,Pokemon Card 151,8708977,EN,ZH,Weepinbell #70,Pokemon Chinese 151 Collect,1.99,
en-mew-077,Ponyta,Pokemon Card 151,8708996,EN,ZH,Ponyta #77,Pokemon Chinese 151 Collect,4.54,
en-mew-083,Farfetch'd,Pokemon Card 151,8709014,EN,ZH,Farfetch'd #83,Pokemon Chinese 151 Collect,2.19,
en-mew-091,Cloyster,Pokemon Card 151,8709038,EN,ZH,Cloyster #91,Pokemon Chinese 151 Collect,2.0,
en-mew-101,Electrode,Pokemon Card 151,8709068,EN,ZH,Electrode #101,Pokemon Chinese 151 Collect,2.58,
en-mew-108,Lickitung,Pokemon Card 151,8709089,EN,ZH,Lickitung #108,Pokemon Chinese 151 Collect,1.99,
en-mew-113,Chansey,Pokemon Card 151,8709104,EN,ZH,Chansey #113,Pokemon Chinese 151 Collect,1.99,
en-mew-119,Seaking,Pokemon Card 151,8709120,EN,ZH,Seaking #119,Pokemon Chinese 151 Collect,2.11,
en-mew-122,Mr. Mime,Pokemon Card 151,8709129,EN,ZH,Mr. Mime #122,Pokemon Chinese 151 Collect,1.99,
en-mew-129,Magikarp,Pokemon Card 151,8709148,EN,ZH,Magikarp #129,Pokemon Chinese 151 Collect,5.5,
en-mew-136,Flareon,Pokemon Card 151,8709170,EN,ZH,Flareon #136,Pokemon Chinese 151 Collect,2.25,
en-mew-144,Articuno,Pokemon Card 151,8709194,EN,ZH,Articuno #144,Pokemon Chinese 151 Collect,1.5,
en-mew-149,Dragonite,Pokemon Card 151,8709208,EN,ZH,Dragonite #149,Pokemon Chinese 151 Collect,3.73,
en-mew-154,Antique Old Amber,Pokemon Card 151,8710100,EN,ZH,Pidgeotto #154,Pokemon Chinese 151 Collect,4.0,
en-mew-161,Giovanni's Charisma,Pokemon Card 151,8710107,EN,ZH,Kadabra #161,Pokemon Chinese 151 Collect,5.49,
en-mew-164,Protective Goggles,Pokemon Card 151,8710110,EN,ZH,Voltorb #164,Pokemon Chinese 151 Collect,4.66,
en-mew-171,Wartortle,Pokemon Card 151,8710116,EN,ZH,Pikachu #171,Pokemon Chinese 151 Collect,776.06,
