id,name,set_name,stored_id,correct_id,current_value,price_source_url
xyp-XY01,Chespin,XY Black Star Promos,3459165,844551,2.9,https://www.pricecharting.com/game/pokemon-promo/chespin-XY01
xyp-XY02,Fennekin,XY Black Star Promos,3459170,844552,2.99,https://www.pricecharting.com/game/pokemon-promo/fennekin-XY02
xyp-XY03,Froakie,XY Black Star Promos,3473549,844553,2.99,https://www.pricecharting.com/game/pokemon-promo/froakie-XY03
xyp-XY05,Xerneas,XY Black Star Promos,3473620,844555,4.65,https://www.pricecharting.com/game/pokemon-promo/xerneas-XY05
xyp-XY06,Yveltal,XY Black Star Promos,3473602,844556,2.99,https://www.pricecharting.com/game/pokemon-promo/yveltal-XY06
xyp-XY07,Xerneas-EX,XY Black Star Promos,886728,844557,54.71,https://www.pricecharting.com/game/pokemon-promo/xerneas-ex-XY07
xyp-XY08,Yveltal-EX,XY Black Star Promos,3473712,844558,486.88,https://www.pricecharting.com/game/pokemon-promo/yveltal-ex-XY08
xyp-XY107,Mewtwo-EX,XY Black Star Promos,3473567,844568,12.86,https://www.pricecharting.com/game/pokemon-promo/mewtwo-ex-XY107
xyp-XY11,Skiddo,XY Black Star Promos,806515,844571,0.25,https://www.pricecharting.com/game/pokemon-promo/skiddo-XY11
xyp-XY110,Mew,XY Black Star Promos,3473569,844572,12.1,https://www.pricecharting.com/game/pokemon-promo/mew-XY110
xyp-XY112,Jirachi,XY Black Star Promos,3473605,844574,6.48,https://www.pricecharting.com/game/pokemon-promo/jirachi-XY112
xyp-XY113,Manaphy,XY Black Star Promos,3440488,844575,1.42,https://www.pricecharting.com/game/pokemon-promo/manaphy-XY113
xyp-XY114,Darkrai,XY Black Star Promos,5604533,844576,1.75,https://www.pricecharting.com/game/pokemon-promo/darkrai-XY114
xyp-XY116,Arceus,XY Black Star Promos,11829026,844578,30.0,https://www.pricecharting.com/game/pokemon-promo/arceus-XY116
xyp-XY117,Victini,XY Black Star Promos,10031488,844579,0.64,https://www.pricecharting.com/game/pokemon-promo/victini-XY117
xyp-XY12,Honedge,XY Black Star Promos,3459184,844582,4.0,https://www.pricecharting.com/game/pokemon-promo/honedge-XY12
xyp-XY120,Meloetta,XY Black Star Promos,12924917,844583,22.79,https://www.pricecharting.com/game/pokemon-promo/meloetta-XY120
xyp-XY121,Charizard-EX,XY Black Star Promos,5605304,844584,18.78,https://www.pricecharting.com/game/pokemon-promo/charizard-ex-XY121
xyp-XY122,Blastoise-EX,XY Black Star Promos,886724,844585,60.58,https://www.pricecharting.com/game/pokemon-promo/blastoise-ex-XY122
xyp-XY123,Venusaur-EX,XY Black Star Promos,806498,844586,5.78,https://www.pricecharting.com/game/pokemon-promo/venusaur-ex-XY123
xyp-XY125,Mewtwo-EX,XY Black Star Promos,3473567,844588,12.86,https://www.pricecharting.com/game/pokemon-promo/mewtwo-ex-XY125
xyp-XY127,Moltres,XY Black Star Promos,3440475,844590,1.99,https://www.pricecharting.com/game/pokemon-promo/moltres-XY127
xyp-XY128,White Kyurem,XY Black Star Promos,3473548,844591,2.2,https://www.pricecharting.com/game/pokemon-promo/white-kyurem-XY128
xyp-XY131,Pansear,XY Black Star Promos,3459169,844595,2.54,https://www.pricecharting.com/game/pokemon-promo/pansear-XY131
xyp-XY132,Gastly,XY Black Star Promos,3472566,844596,1.94,https://www.pricecharting.com/game/pokemon-promo/gastly-XY132
xyp-XY137,Vivillon,XY Black Star Promos,806514,844601,3.04,https://www.pricecharting.com/game/pokemon-promo/vivillon-XY137
xyp-XY138,Froakie,XY Black Star Promos,3473549,844602,2.99,https://www.pricecharting.com/game/pokemon-promo/froakie-XY138
xyp-XY14,Trevenant,XY Black Star Promos,3473579,844604,2.81,https://www.pricecharting.com/game/pokemon-promo/trevenant-XY14
xyp-XY140,Lucario,XY Black Star Promos,3440512,844605,1.92,https://www.pricecharting.com/game/pokemon-promo/lucario-XY140
xyp-XY145,Volcanion,XY Black Star Promos,3473539,844610,6.33,https://www.pricecharting.com/game/pokemon-promo/volcanion-XY145
xyp-XY147,Hoopa,XY Black Star Promos,3473582,844612,11.15,https://www.pricecharting.com/game/pokemon-promo/hoopa-XY147
xyp-XY148,Shaymin-EX,XY Black Star Promos,3473631,844613,12.38,https://www.pricecharting.com/game/pokemon-promo/shaymin-ex-XY148
xyp-XY149,Xerneas-EX,XY Black Star Promos,886728,844614,54.71,https://www.pricecharting.com/game/pokemon-promo/xerneas-ex-XY149
xyp-XY15,Slurpuff,XY Black Star Promos,806588,844615,1.41,https://www.pricecharting.com/game/pokemon-promo/slurpuff-XY15
xyp-XY150,Yveltal-EX,XY Black Star Promos,3473712,844616,486.88,https://www.pricecharting.com/game/pokemon-promo/yveltal-ex-XY150
xyp-XY150a,Yveltal-EX,XY Black Star Promos,3473712,844617,486.88,https://www.pricecharting.com/game/pokemon-promo/yveltal-ex-XY150a
xyp-XY151,Zygarde-EX,XY Black Star Promos,3473702,844618,98.0,https://www.pricecharting.com/game/pokemon-promo/zygarde-ex-XY151
xyp-XY152,Zygarde,XY Black Star Promos,3473593,844619,4.36,https://www.pricecharting.com/game/pokemon-promo/zygarde-XY152
xyp-XY156,Lugia,XY Black Star Promos,3473627,844623,13.15,https://www.pricecharting.com/game/pokemon-promo/lugia-XY156
xyp-XY158,M Beedrill-EX,XY Black Star Promos,844625,960380,15.48,https://www.pricecharting.com/game/pokemon-promo/m-beedrill-ex-XY158
xyp-XY16,Gogoat,XY Black Star Promos,806516,844627,0.99,https://www.pricecharting.com/game/pokemon-promo/gogoat-XY16
xyp-XY161,Braixen,XY Black Star Promos,3459171,844629,2.18,https://www.pricecharting.com/game/pokemon-promo/braixen-XY161
xyp-XY162,Greninja,XY Black Star Promos,3473551,844630,3.99,https://www.pricecharting.com/game/pokemon-promo/greninja-XY162
xyp-XY163,Weezing,XY Black Star Promos,3472586,844631,1.49,https://www.pricecharting.com/game/pokemon-promo/weezing-XY163
xyp-XY164,Volcanion,XY Black Star Promos,3473539,844632,6.33,https://www.pricecharting.com/game/pokemon-promo/volcanion-XY164
xyp-XY165,Magearna,XY Black Star Promos,3473613,844633,2.99,https://www.pricecharting.com/game/pokemon-promo/magearna-XY165
xyp-XY166,M Gengar-EX,XY Black Star Promos,844634,11816195,101.88,https://www.pricecharting.com/game/pokemon-promo/m-gengar-ex-XY166
xyp-XY168,M Garchomp-EX,XY Black Star Promos,844636,9432939,43.93,https://www.pricecharting.com/game/pokemon-promo/m-garchomp-ex-XY168
xyp-XY17,Charizard-EX,XY Black Star Promos,5605304,844638,18.78,https://www.pricecharting.com/game/pokemon-promo/charizard-ex-XY17
xyp-XY173,Volcanion-EX,XY Black Star Promos,3473540,844642,4.85,https://www.pricecharting.com/game/pokemon-promo/volcanion-ex-XY173
xyp-XY175,Magearna-EX,XY Black Star Promos,3473614,844644,3.86,https://www.pricecharting.com/game/pokemon-promo/magearna-ex-XY175
xyp-XY177,Karen,XY Black Star Promos,3473667,844646,19.1,https://www.pricecharting.com/game/pokemon-promo/karen-XY177
xyp-XY177a,Karen,XY Black Star Promos,3473667,844647,19.1,https://www.pricecharting.com/game/pokemon-promo/karen-XY177a
xyp-XY179,Snorlax,XY Black Star Promos,3459189,844649,15.89,https://www.pricecharting.com/game/pokemon-promo/snorlax-XY179
xyp-XY183,Mewtwo-EX,XY Black Star Promos,3473567,844654,12.86,https://www.pricecharting.com/game/pokemon-promo/mewtwo-ex-XY183
xyp-XY184,Giratina,XY Black Star Promos,3473573,844655,7.99,https://www.pricecharting.com/game/pokemon-promo/giratina-XY184
xyp-XY185,Volcanion,XY Black Star Promos,3473539,844656,6.33,https://www.pricecharting.com/game/pokemon-promo/volcanion-XY185
xyp-XY186,Magearna,XY Black Star Promos,3473613,844657,2.99,https://www.pricecharting.com/game/pokemon-promo/magearna-XY186
xyp-XY189,Victini,XY Black Star Promos,10031488,844660,0.64,https://www.pricecharting.com/game/pokemon-promo/victini-XY189
xyp-XY190,Manaphy,XY Black Star Promos,3440488,845101,1.42,https://www.pricecharting.com/game/pokemon-promo/manaphy-XY190
xyp-XY192,Mew,XY Black Star Promos,3473569,844663,12.1,https://www.pricecharting.com/game/pokemon-promo/mew-XY192
xyp-XY193,Meloetta,XY Black Star Promos,12924917,844664,6.05,https://www.pricecharting.com/game/pokemon-promo/meloetta-XY193
xyp-XY194,Darkrai,XY Black Star Promos,5604533,844665,1.75,https://www.pricecharting.com/game/pokemon-promo/darkrai-XY194
xyp-XY195,Jirachi,XY Black Star Promos,3473605,844666,6.48,https://www.pricecharting.com/game/pokemon-promo/jirachi-XY195
xyp-XY197,Arceus,XY Black Star Promos,11829026,844668,13.5,https://www.pricecharting.com/game/pokemon-promo/arceus-XY197
xyp-XY198,M Camerupt-EX,XY Black Star Promos,3473538,10538900,13.15,https://www.pricecharting.com/game/pokemon-promo/m-camerupt-ex-XY198
xyp-XY198a,M Camerupt-EX,XY Black Star Promos,3473538,960380,13.15,https://www.pricecharting.com/game/pokemon-promo/m-camerupt-ex-XY198a
xyp-XY199,Camerupt Spirit Link,XY Black Star Promos,3473656,844671,6.25,https://www.pricecharting.com/game/pokemon-promo/camerupt-spirit-link-XY199
xyp-XY200,M Sharpedo-EX,XY Black Star Promos,3473703,844673,51.59,https://www.pricecharting.com/game/pokemon-promo/m-sharpedo-ex-XY200
xyp-XY200a,M Sharpedo-EX,XY Black Star Promos,3473703,960380,51.59,https://www.pricecharting.com/game/pokemon-promo/m-sharpedo-ex-XY200a
xyp-XY202,Pikachu,XY Black Star Promos,3473554,844676,5.91,https://www.pricecharting.com/game/pokemon-promo/pikachu-XY202
xyp-XY21,Bronzong,XY Black Star Promos,3473607,844684,15.97,https://www.pricecharting.com/game/pokemon-promo/bronzong-XY21
xyp-XY211,Lucario Spirit Link,XY Black Star Promos,3473660,844686,20.39,https://www.pricecharting.com/game/pokemon-promo/lucario-spirit-link-XY211
xyp-XY22,Darkrai,XY Black Star Promos,5604533,844687,1.75,https://www.pricecharting.com/game/pokemon-promo/darkrai-XY22
xyp-XY23,Shiftry,XY Black Star Promos,3472589,844688,1.05,https://www.pricecharting.com/game/pokemon-promo/shiftry-XY23
xyp-XY24,Greninja,XY Black Star Promos,3473551,844689,3.99,https://www.pricecharting.com/game/pokemon-promo/greninja-XY24
xyp-XY28,Venusaur-EX,XY Black Star Promos,806498,844693,5.78,https://www.pricecharting.com/game/pokemon-promo/venusaur-ex-XY28
xyp-XY29,Charizard-EX,XY Black Star Promos,5605304,844694,18.78,https://www.pricecharting.com/game/pokemon-promo/charizard-ex-XY29
xyp-XY30,Blastoise-EX,XY Black Star Promos,886724,844695,60.58,https://www.pricecharting.com/game/pokemon-promo/blastoise-ex-XY30
xyp-XY31,Xerneas,XY Black Star Promos,3473620,844696,4.65,https://www.pricecharting.com/game/pokemon-promo/xerneas-XY31
xyp-XY32,Yveltal,XY Black Star Promos,3473602,844697,2.99,https://www.pricecharting.com/game/pokemon-promo/yveltal-XY32
xyp-XY35,M Metagross-EX,XY Black Star Promos,844700,960380,26.04,https://www.pricecharting.com/game/pokemon-promo/m-metagross-ex-XY35
xyp-XY44,M Diancie-EX,XY Black Star Promos,844709,960380,13.43,https://www.pricecharting.com/game/pokemon-promo/m-diancie-ex-XY44
xyp-XY46,Altaria,XY Black Star Promos,5604545,844711,1.97,https://www.pricecharting.com/game/pokemon-promo/altaria-XY46
xyp-XY51,Kyogre,XY Black Star Promos,3449252,844716,2.99,https://www.pricecharting.com/game/pokemon-promo/kyogre-XY51
xyp-XY53,Sceptile-EX,XY Black Star Promos,3473530,844718,7.77,https://www.pricecharting.com/game/pokemon-promo/sceptile-ex-XY53
xyp-XY58,Malamar,XY Black Star Promos,806573,844723,0.65,https://www.pricecharting.com/game/pokemon-promo/malamar-XY58
xyp-XY62,Absol-EX,XY Black Star Promos,5605305,844727,4.02,https://www.pricecharting.com/game/pokemon-promo/absol-ex-XY62
xyp-XY66,Rayquaza-EX,XY Black Star Promos,3473629,844731,20.99,https://www.pricecharting.com/game/pokemon-promo/rayquaza-ex-XY66
xyp-XY67,Jirachi,XY Black Star Promos,3473605,844732,6.48,https://www.pricecharting.com/game/pokemon-promo/jirachi-XY67
xyp-XY67a,Jirachi,XY Black Star Promos,3473605,844733,6.48,https://www.pricecharting.com/game/pokemon-promo/jirachi-XY67a
xyp-XY68,Chesnaught,XY Black Star Promos,3459167,844734,3.15,https://www.pricecharting.com/game/pokemon-promo/chesnaught-XY68
xyp-XY69,Rayquaza-EX,XY Black Star Promos,3473629,844735,20.99,https://www.pricecharting.com/game/pokemon-promo/rayquaza-ex-XY69
xyp-XY71,Hoopa-EX,XY Black Star Promos,3473583,844737,4.46,https://www.pricecharting.com/game/pokemon-promo/hoopa-ex-XY71
xyp-XY73,Rayquaza-EX,XY Black Star Promos,3473629,844739,20.99,https://www.pricecharting.com/game/pokemon-promo/rayquaza-ex-XY73
xyp-XY74,Reshiram,XY Black Star Promos,886698,844740,59.5,https://www.pricecharting.com/game/pokemon-promo/reshiram-XY74
xyp-XY76,Zekrom,XY Black Star Promos,886699,844742,82.5,https://www.pricecharting.com/game/pokemon-promo/zekrom-XY76
xyp-XY81,White Kyurem,XY Black Star Promos,3473548,844747,2.2,https://www.pricecharting.com/game/pokemon-promo/white-kyurem-XY81
xyp-XY83,Arceus,XY Black Star Promos,11829026,844749,27.54,https://www.pricecharting.com/game/pokemon-promo/arceus-XY83
xyp-XY85,Hoopa-EX,XY Black Star Promos,3473583,844751,4.46,https://www.pricecharting.com/game/pokemon-promo/hoopa-ex-XY85
xyp-XY86,M Blaziken-EX,XY Black Star Promos,844752,960380,21.09,https://www.pricecharting.com/game/pokemon-promo/m-blaziken-ex-XY86
xyp-XY87,M Swampert-EX,XY Black Star Promos,844753,960380,20.65,https://www.pricecharting.com/game/pokemon-promo/m-swampert-ex-XY87
xyp-XY88,Chespin,XY Black Star Promos,3459165,844754,2.9,https://www.pricecharting.com/game/pokemon-promo/chespin-XY88
xyp-XY89,Pikachu,XY Black Star Promos,3473554,844755,5.91,https://www.pricecharting.com/game/pokemon-promo/pikachu-XY89
xyp-XY90,Hoopa,XY Black Star Promos,3473582,844756,11.15,https://www.pricecharting.com/game/pokemon-promo/hoopa-XY90
xyp-XY92,Sableye,XY Black Star Promos,806566,844758,1.16,https://www.pricecharting.com/game/pokemon-promo/sableye-XY92
xyp-XY94,Trevenant,XY Black Star Promos,3473579,844760,2.81,https://www.pricecharting.com/game/pokemon-promo/trevenant-XY94
xyp-XY95,Pikachu,XY Black Star Promos,3473554,844761,5.91,https://www.pricecharting.com/game/pokemon-promo/pikachu-XY95
xyp-XY96,Umbreon,XY Black Star Promos,5604529,844762,1.99,https://www.pricecharting.com/game/pokemon-promo/umbreon-XY96
xyp-XY98,M Aerodactyl-EX,XY Black Star Promos,844764,960380,10.34,https://www.pricecharting.com/game/pokemon-promo/m-aerodactyl-ex-XY98
